# rule	node	file	span	chash	rhash
SXP-API-002	go:saxpy.Saxpy	examples/saxpy/saxpy/saxpy.go	21-36	1eda819b08a12401	0b71e9ee68c0437c
SPX-GRA-003	go:graph.memGraph.Find	internal/graph/graph.go	212-252	272529e2294be215	91c932df861f8ea6
SPX-SWM-006	go:coord.DB.Sweep	internal/coord/coord.go	208-256	98b5195b2813ba92	a7e101002bd5cdba
SPX-MCP-004	go:mcpserver.Server.draft	internal/mcpserver/tools.go	717-895	7533eee3eab65855	323843ad5b0aa462
SPX-MCP-005	go:mcpserver.Server.state	internal/mcpserver/state.go	87-103	01b6bd873d304191	dde3039d70647c5f
SPX-MCP-006	go:mcpserver.Server.research	internal/mcpserver/research.go	37-59	8cb8ff298f3c5e76	d123b79339b10588
SPX-MCP-007	go:mcpserver.Server.grill	internal/mcpserver/grill.go	50-210	47edb8316c9ffca7	93674953c9609b17
SPX-SWM-007	go:lifecycle.Escalate	internal/lifecycle/lifecycle.go	352-375	9799dac75994f649	249a788d6d001a7c
LCY-001	go:lifecycle.archive	internal/lifecycle/lifecycle.go	461-498	04fe85047ecd216c	5d9979347e50633c
LCY-001	go:item.Get	internal/item/item.go	301-312	37437d90711a7fd0	5d9979347e50633c
MCP-001	go:mcpserver.Server.decideAsk	internal/mcpserver/decide.go	59-176	82d9712a04a7ad14	5275aa7e2829542b
LCY-001	go:mcpserver.Server.getItem	internal/mcpserver/tools.go	479-569	eb86c5dea77e9e16	5d9979347e50633c
LCY-002	go:mcpserver.Server.openNeeds	internal/mcpserver/tools.go	1787-1802	3c1960be3d038fd9	6dc63df43e762566
LCY-002	go:mcpserver.hasOpenNeeds	internal/mcpserver/prompts.go	316-330	57a8b3258a54c016	6dc63df43e762566
SPX-LSP-001	go:langspec.All	internal/langspec/langspec.go	370-376	69ca8c863ade4c01	fb88dafbdb30ed78
IDX-001	go:index.LangOf	internal/index/langs.go	73-83	8f923cb26649366a	530bf13e00e370d1
STO-001	go:store.Store	internal/store/store.go	31-36	2f964b8a592b286b	e331c32f774b585a
RSV-001	go:resolve.Default	internal/resolve/resolver.go	36-45	f208f998da2717ed	ec37a610e2670d3a
CLI-001	go:main.main	cmd/spectackle/main.go	64-68	ff8dc53a80235df9	70b6d48bf6223821
IDX-001	go:index.indexer.IndexAll	internal/index/indexer.go	126-270	50ff5ca08807f189	530bf13e00e370d1
DRF-001	go:mcpserver.Server.stampAnchors	internal/mcpserver/tools.go	1543-1567	6d0f18f6f43a461a	ed38696fbefe97e8
DRF-001	go:drift.Upsert	internal/drift/drift.go	175-183	7a41f19e26ed4b1b	ed38696fbefe97e8
LSP-001	go:langspec.SpecParser.Parse	internal/langspec/langspec.go	235-289	ee77989091bab22d	eae57d105eaf62a4
MCP-002	go:graph.Node	internal/graph/graph.go	124-133	092160135b9850c0	1a52ce91c2f5ebcc
MCP-003	go:mcpserver.Server.registerTools	internal/mcpserver/tools.go	223-336	9255f3f3b401d34f	92dcbcfaffa20331
MCP-004	go:mcpserver.Server.check	internal/mcpserver/tools.go	1852-2065	dcd585488e73a98a	8800c929f7ba22f7
MCP-005	go:mcpserver.Server.compact	internal/mcpserver/tools.go	2358-2446	207cd742db307bbf	eb2b0afd3aaf585d
SPX-SPC-007	go:spec.Cascade.ForNode	internal/spec/cascade.go	259-283	4094fb4ccef16cfb	a2ff27484a248484
SPX-GRA-004	go:graph.PersonalizedRank	internal/graph/pagerank.go	12-78	f8b2114ceda74c78	9eeebb6596d0cf13
SPX-EARS-004	go:ears.LintSentence	internal/ears/ears.go	117-148	b22279d1973d0f49	12a13a8c05a928ed
SPX-EARS-004	go:ears.ParseRules	internal/ears/ears.go	203-253	0fa34a1f18005e98	12a13a8c05a928ed
SPX-EARS-004	go:ears.StripFrontMatter	internal/ears/ears.go	269-281	45da9a4aa569b9e8	12a13a8c05a928ed
MCP-006	go:mcpserver.Server.registerTools	internal/mcpserver/tools.go	223-336	9255f3f3b401d34f	dc3914bfaa235c28
RSV-002	go:resolve.GpuPipeResolver.Resolve	internal/resolve/gpupipe.go	66-80	c1ee7682e99013bd	2a844dd5c561d2dc
LSP-002	go:langspec.SpecParser.callEdges	internal/langspec/langspec.go	317-338	55b2a954ca598924	b43e489d49084037
MTC-API-004	objc:Renderer.buildPipeline	examples/metalcompute/Renderer.m	12-15	860a8f45c90b6f15	fc12af87c35b21f4
MTC-API-006	msl:add_arrays	examples/metalcompute/shaders.metal	4-6	894657ad7bcbe04e	41ca46660e86a63f
MCP-011	go:mcpserver.Server.registerTools	internal/mcpserver/tools.go	223-336	9255f3f3b401d34f	081060ff3535ad7c
ROLE-BOUNDARY-001	go:mcpserver.Server.gitFlowFor	internal/mcpserver/gitflow.go	715-736	798a2537ef34c41b	d23a97e322d7aeea
