# rule	node	file	span	chash	rhash
SXP-API-002	go:saxpy.Saxpy	examples/saxpy/saxpy/saxpy.go	21-36	1eda819b08a12401	0b71e9ee68c0437c
SPX-GRA-003	go:graph.memGraph.Find	internal/graph/graph.go	194-234	272529e2294be215	91c932df861f8ea6
SPX-SWM-006	go:coord.DB.Sweep	internal/coord/coord.go	208-256	98b5195b2813ba92	a7e101002bd5cdba
SPX-MCP-004	go:mcpserver.Server.draft	internal/mcpserver/tools.go	446-537	dee9c1160a0ae8fc	323843ad5b0aa462
SPX-MCP-005	go:mcpserver.Server.state	internal/mcpserver/state.go	28-44	bd91b215024bfeaf	dde3039d70647c5f
SPX-MCP-006	go:mcpserver.Server.research	internal/mcpserver/research.go	36-58	7cd4223e83a71994	d123b79339b10588
SPX-MCP-007	go:mcpserver.Server.grill	internal/mcpserver/grill.go	34-104	a9f3dd9909b79ef2	93674953c9609b17
SPX-SWM-007	go:lifecycle.Escalate	internal/lifecycle/lifecycle.go	292-315	61e2546d1f6f963a	52565b9d4e1986a2
SPX-LSP-001	go:langspec.SpecParser.Parse	internal/langspec/langspec.go	86-120	97a6bd77f457bd0a	fb88dafbdb30ed78
LCY-001	go:lifecycle.archive	internal/lifecycle/lifecycle.go	401-437	73ebf91d9482f80b	5d9979347e50633c
LCY-001	go:item.Get	internal/item/item.go	178-189	37437d90711a7fd0	5d9979347e50633c
MCP-001	go:mcpserver.Server.decideAsk	internal/mcpserver/decide.go	57-151	f390698e779e3ee4	5275aa7e2829542b
LCY-001	go:mcpserver.Server.getItem	internal/mcpserver/tools.go	282-312	146170c57148073d	5d9979347e50633c
LCY-002	go:mcpserver.Server.openNeeds	internal/mcpserver/tools.go	858-873	3c1960be3d038fd9	6dc63df43e762566
LCY-002	go:mcpserver.hasOpenNeeds	internal/mcpserver/prompts.go	272-286	57a8b3258a54c016	6dc63df43e762566
SPX-LSP-001	go:langspec.All	internal/langspec/langspec.go	152-158	69ca8c863ade4c01	fb88dafbdb30ed78
